Area,Year,Population,Data quality rating,Data quality,Type of primary data,Data footnote,Modifications,Modification footnote,Source of gapminder
Albania,1935,"1,009,000",,NA,NA,,NA,,Maddison on-line
Albania,1936,"1,014,000",,NA,NA,,NA,,Maddison on-line
Albania,1937,"1,030,000",,NA,NA,,NA,,Maddison on-line
Albania,1938,"1,040,000",,NA,NA,,NA,,Maddison on-line
Albania,1939,"1,070,000",,NA,NA,,NA,,Maddison on-line
Albania,1940,"1,088,000",,NA,NA,,NA,,Maddison on-line
Albania,1941,"1,100,000",,NA,NA,,NA,,Maddison on-line
Albania,1942,"1,117,000",,NA,NA,,NA,,Maddison on-line
Albania,1943,"1,119,000",,NA,NA,,NA,,Maddison on-line
Albania,1944,"1,122,000",,NA,NA,,NA,,Maddison on-line
Albania,1945,"1,138,000",,NA,NA,,NA,,Maddison on-line
Albania,1946,"1,154,000",,NA,NA,,NA,,Maddison on-line
Albania,1947,"1,175,000",,NA,NA,,NA,,Maddison on-line
Albania,1948,"1,192,000",,NA,NA,,NA,,Maddison on-line
Albania,1949,"1,209,000",,NA,NA,,NA,,Maddison on-line
Albania,1950,"1,227,156",,NA,NA,,NA,,Maddison on-line
Albania,1951,"1,254,119",,NA,NA,,NA,,Maddison on-line
Albania,1952,"1,282,697",,NA,NA,,NA,,Maddison on-line
Albania,1953,"1,314,608",,NA,NA,,NA,,Maddison on-line
Albania,1954,"1,352,982",,NA,NA,,NA,,Maddison on-line
Albania,1955,"1,392,164",,NA,NA,,NA,,Maddison on-line
Albania,1956,"1,434,476",,NA,NA,,NA,,Maddison on-line
Albania,1957,"1,476,505",,NA,NA,,NA,,Maddison on-line
Albania,1958,"1,521,417",,NA,NA,,NA,,Maddison on-line
Albania,1959,"1,571,329",,NA,NA,,NA,,Maddison on-line
Albania,1960,"1,623,114",,NA,NA,,NA,,Maddison on-line
Albania,1961,"1,676,635",,NA,NA,,NA,,Maddison on-line
Albania,1962,"1,728,137",,NA,NA,,NA,,Maddison on-line
Albania,1963,"1,779,715",,NA,NA,,NA,,Maddison on-line
Albania,1964,"1,832,284",,NA,NA,,NA,,Maddison on-line
Albania,1965,"1,883,652",,NA,NA,,NA,,Maddison on-line
Albania,1966,"1,932,963",,NA,NA,,NA,,Maddison on-line
Albania,1967,"1,984,060",,NA,NA,,NA,,Maddison on-line
Albania,1968,"2,038,698",,NA,NA,,NA,,Maddison on-line
Albania,1969,"2,100,263",,NA,NA,,NA,,Maddison on-line
Albania,1970,"2,156,612",,NA,NA,,NA,,Maddison on-line
Albania,1971,"2,208,719",,NA,NA,,NA,,Maddison on-line
Albania,1972,"2,263,554",,NA,NA,,NA,,Maddison on-line
Albania,1973,"2,295,691",,NA,NA,,NA,,Maddison on-line
Albania,1974,"2,347,924",,NA,NA,,NA,,Maddison on-line
Albania,1975,"2,401,108",,NA,NA,,NA,,Maddison on-line
Albania,1976,"2,454,824",,NA,NA,,NA,,Maddison on-line
Albania,1977,"2,509,048",,NA,NA,,NA,,Maddison on-line
Albania,1978,"2,563,376",,NA,NA,,NA,,Maddison on-line
Albania,1979,"2,617,679",,NA,NA,,NA,,Maddison on-line
Albania,1980,"2,671,412",,NA,NA,,NA,,Maddison on-line
Albania,1981,"2,724,272",,NA,NA,,NA,,Maddison on-line
Albania,1982,"2,780,097",,NA,NA,,NA,,Maddison on-line
Albania,1983,"2,837,315",,NA,NA,,NA,,Maddison on-line
Albania,1984,"2,895,998",,NA,NA,,NA,,Maddison on-line
Albania,1985,"2,956,697",,NA,NA,,NA,,Maddison on-line
Albania,1986,"3,015,438",,NA,NA,,NA,,Maddison on-line
Albania,1987,"3,075,321",,NA,NA,,NA,,Maddison on-line
Albania,1988,"3,136,843",,NA,NA,,NA,,Maddison on-line
Albania,1989,"3,195,800",,NA,NA,,NA,,Maddison on-line
Albania,1990,"3,250,778",,NA,NA,,NA,,Maddison on-line
Albania,1991,"3,294,227",,NA,NA,,NA,,Maddison on-line
Albania,1992,"3,326,498",,NA,NA,,NA,,Maddison on-line
Albania,1993,"3,351,656",,NA,NA,,NA,,Maddison on-line
Albania,1994,"3,378,424",,NA,NA,,NA,,Maddison on-line
Albania,1995,"3,400,516",,NA,NA,,NA,,Maddison on-line
Albania,1996,"3,414,733",,NA,NA,,NA,,Maddison on-line
Albania,1997,"3,428,038",,NA,NA,,NA,,Maddison on-line
Albania,1998,"3,441,234",,NA,NA,,NA,,Maddison on-line
Albania,1999,"3,457,493",,NA,NA,,NA,,Maddison on-line
Albania,2000,"3,473,835",,NA,NA,,NA,,Maddison on-line
Albania,2001,"3,490,304",,NA,NA,,NA,,Maddison on-line
Albania,2002,"3,508,512",,NA,NA,,NA,,Maddison on-line
Albania,2003,"3,526,642",,NA,NA,,NA,,Maddison on-line
Albania,2004,"3,544,808",,NA,NA,,NA,,Maddison on-line
Albania,2005,"3,563,112",,NA,NA,,NA,,Maddison on-line
Albania,2006,"3,581,655",,NA,NA,,NA,,Maddison on-line
Albania,2007,"3,600,523",,NA,NA,,NA,,Maddison on-line
Albania,2008,"3,619,778",,NA,NA,,Temporal extrapolation,,Maddison on-line
Albania,2030,"3,987,665",,NA,NA,,Temporal extrapolation,,Maddison on-line
Algeria,1600,"2,250,000",,NA,NA,,NA,,Maddison on-line
Algeria,1700,"1,750,000",,NA,NA,,NA,,Maddison on-line
Algeria,1820,"2,689,000",,NA,NA,,NA,,Maddison on-line
Algeria,1870,"3,776,000",,NA,NA,,NA,,Maddison on-line
Algeria,1913,"5,497,000",,NA,NA,,NA,,Maddison on-line
Algeria,1950,"8,892,718",,NA,NA,,NA,,Maddison on-line
Algeria,1951,"9,073,304",,NA,NA,,NA,,Maddison on-line
Algeria,1952,"9,279,525",,NA,NA,,NA,,Maddison on-line
Algeria,1953,"9,531,710",,NA,NA,,NA,,Maddison on-line
Algeria,1954,"9,611,093",,NA,NA,,NA,,Maddison on-line
Algeria,1955,"9,841,851",,NA,NA,,NA,,Maddison on-line
Algeria,1956,"10,057,133",,NA,NA,,NA,,Maddison on-line
Algeria,1957,"10,270,856",,NA,NA,,NA,,Maddison on-line
Algeria,1958,"10,484,925",,NA,NA,,NA,,Maddison on-line
Algeria,1959,"10,696,396",,NA,NA,,NA,,Maddison on-line
Algeria,1960,"10,909,294",,NA,NA,,NA,,Maddison on-line
Algeria,1961,"11,121,645",,NA,NA,,NA,,Maddison on-line
Algeria,1962,"11,000,948",,NA,NA,,NA,,Maddison on-line
Algeria,1963,"11,272,878",,NA,NA,,NA,,Maddison on-line
Algeria,1964,"11,612,858",,NA,NA,,NA,,Maddison on-line
Algeria,1965,"11,963,091",,NA,NA,,NA,,Maddison on-line
Algeria,1966,"12,339,140",,NA,NA,,NA,,Maddison on-line
Algeria,1967,"12,760,499",,NA,NA,,NA,,Maddison on-line
Algeria,1968,"13,146,267",,NA,NA,,NA,,Maddison on-line
Algeria,1969,"13,528,304",,NA,NA,,NA,,Maddison on-line
Algeria,1970,"13,931,846",,NA,NA,,NA,,Maddison on-line
Algeria,1971,"14,335,388",,NA,NA,,NA,,Maddison on-line
Algeria,1972,"14,760,787",,NA,NA,,NA,,Maddison on-line
Algeria,1973,"15,197,724",,NA,NA,,NA,,Maddison on-line
Algeria,1974,"15,653,200",,NA,NA,,NA,,Maddison on-line
Algeria,1975,"16,140,252",,NA,NA,,NA,,Maddison on-line
Algeria,1976,"16,634,618",,NA,NA,,NA,,Maddison on-line
Algeria,1977,"17,152,804",,NA,NA,,NA,,Maddison on-line
Algeria,1978,"17,685,768",,NA,NA,,NA,,Maddison on-line
Algeria,1979,"18,229,932",,NA,NA,,NA,,Maddison on-line
Algeria,1980,"18,806,061",,NA,NA,,NA,,Maddison on-line
Algeria,1981,"19,407,036",,NA,NA,,NA,,Maddison on-line
Algeria,1982,"20,033,753",,NA,NA,,NA,,Maddison on-line
Algeria,1983,"20,680,982",,NA,NA,,NA,,Maddison on-line
Algeria,1984,"21,340,546",,NA,NA,,NA,,Maddison on-line
Algeria,1985,"22,008,450",,NA,NA,,NA,,Maddison on-line
Algeria,1986,"22,642,538",,NA,NA,,NA,,Maddison on-line
Algeria,1987,"23,254,956",,NA,NA,,NA,,Maddison on-line
Algeria,1988,"23,883,858",,NA,NA,,NA,,Maddison on-line
Algeria,1989,"24,500,650",,NA,NA,,NA,,Maddison on-line
Algeria,1990,"25,093,154",,NA,NA,,NA,,Maddison on-line
Algeria,1991,"25,689,444",,NA,NA,,NA,,Maddison on-line
Algeria,1992,"26,298,373",,NA,NA,,NA,,Maddison on-line
Algeria,1993,"26,914,091",,NA,NA,,NA,,Maddison on-line
Algeria,1994,"27,517,041",,NA,NA,,NA,,Maddison on-line
Algeria,1995,"28,082,573",,NA,NA,,NA,,Maddison on-line
Algeria,1996,"28,595,073",,NA,NA,,NA,,Maddison on-line
Algeria,1997,"29,072,015",,NA,NA,,NA,,Maddison on-line
Algeria,1998,"29,521,270",,NA,NA,,NA,,Maddison on-line
Algeria,1999,"29,962,690",,NA,NA,,NA,,Maddison on-line
Algeria,2000,"30,409,300",,NA,NA,,NA,,Maddison on-line
Algeria,2001,"30,851,518",,NA,NA,,NA,,Maddison on-line
Algeria,2002,"31,287,142",,NA,NA,,NA,,Maddison on-line
Algeria,2003,"31,713,719",,NA,NA,,NA,,Maddison on-line
Algeria,2004,"32,129,324",,NA,NA,,NA,,Maddison on-line
Algeria,2005,"32,531,853",,NA,NA,,NA,,Maddison on-line
Algeria,2006,"32,930,091",,NA,NA,,NA,,Maddison on-line
Algeria,2007,"33,333,216",,NA,NA,,NA,,Maddison on-line
Algeria,2008,"33,739,635",,NA,NA,,Temporal extrapolation,,Maddison on-line
Algeria,2030,"41,600,103",,NA,NA,,Temporal extrapolation,,Maddison on-line
American Samoa,1700,"7,427",5,Very poor,Indirect estimate,,Geographical interpolation,"Very rough (more than 50 years, in several steps)",Caldwell et al (2001)
American Samoa,1800,"8,170",4,Poor,Indirect estimate,,Geographical interpolation,"Rough (more than 10 years, 50 years or less, in several steps)",Caldwell et al (2001)
American Samoa,1850,"8,100",4,Poor,Indirect estimate,,Geographical interpolation,"Rough (more than 10 years, 50 years or less, in several steps)",Caldwell et al (2001)
American Samoa,1900,"5,700",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
American Samoa,1912,"7,300",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
American Samoa,1920,"8,100",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
American Samoa,1930,"10,000",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
American Samoa,1940,"13,000",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
American Samoa,1950,"19,100",,NA,NA,,NA,,Maddison on-line
American Samoa,1951,"19,500",,NA,NA,,NA,,Maddison on-line
American Samoa,1952,"19,300",,NA,NA,,NA,,Maddison on-line
American Samoa,1953,"19,200",,NA,NA,,NA,,Maddison on-line
American Samoa,1954,"19,500",,NA,NA,,NA,,Maddison on-line
American Samoa,1955,"19,800",,NA,NA,,NA,,Maddison on-line
American Samoa,1956,"20,100",,NA,NA,,NA,,Maddison on-line
American Samoa,1957,"20,300",,NA,NA,,NA,,Maddison on-line
American Samoa,1958,"20,500",,NA,NA,,NA,,Maddison on-line
American Samoa,1959,"20,400",,NA,NA,,NA,,Maddison on-line
American Samoa,1960,"20,000",,NA,NA,,NA,,Maddison on-line
American Samoa,1961,"19,900",,NA,NA,,NA,,Maddison on-line
American Samoa,1962,"21,000",,NA,NA,,NA,,Maddison on-line
American Samoa,1963,"23,100",,NA,NA,,NA,,Maddison on-line
American Samoa,1964,"23,200",,NA,NA,,NA,,Maddison on-line
American Samoa,1965,"24,600",,NA,NA,,NA,,Maddison on-line
American Samoa,1966,"26,700",,NA,NA,,NA,,Maddison on-line
American Samoa,1967,"25,100",,NA,NA,,NA,,Maddison on-line
American Samoa,1968,"28,100",,NA,NA,,NA,,Maddison on-line
American Samoa,1969,"30,400",,NA,NA,,NA,,Maddison on-line
American Samoa,1970,"27,267",,NA,NA,,NA,,Maddison on-line
American Samoa,1971,"27,731",,NA,NA,,NA,,Maddison on-line
American Samoa,1972,"28,202",,NA,NA,,NA,,Maddison on-line
American Samoa,1973,"28,612",,NA,NA,,NA,,Maddison on-line
American Samoa,1974,"29,057",,NA,NA,,NA,,Maddison on-line
American Samoa,1975,"29,640",,NA,NA,,NA,,Maddison on-line
American Samoa,1976,"30,272",,NA,NA,,NA,,Maddison on-line
American Samoa,1977,"30,839",,NA,NA,,NA,,Maddison on-line
American Samoa,1978,"31,411",,NA,NA,,NA,,Maddison on-line
American Samoa,1979,"31,964",,NA,NA,,NA,,Maddison on-line
American Samoa,1980,"32,418",,NA,NA,,NA,,Maddison on-line
American Samoa,1981,"33,595",,NA,NA,,NA,,Maddison on-line
American Samoa,1982,"34,706",,NA,NA,,NA,,Maddison on-line
American Samoa,1983,"35,838",,NA,NA,,NA,,Maddison on-line
American Samoa,1984,"37,092",,NA,NA,,NA,,Maddison on-line
American Samoa,1985,"38,633",,NA,NA,,NA,,Maddison on-line
American Samoa,1986,"40,164",,NA,NA,,NA,,Maddison on-line
American Samoa,1987,"41,876",,NA,NA,,NA,,Maddison on-line
American Samoa,1988,"43,623",,NA,NA,,NA,,Maddison on-line
American Samoa,1989,"45,384",,NA,NA,,NA,,Maddison on-line
American Samoa,1990,"47,199",,NA,NA,,NA,,Maddison on-line
American Samoa,1991,"48,529",,NA,NA,,NA,,Maddison on-line
American Samoa,1992,"49,872",,NA,NA,,NA,,Maddison on-line
American Samoa,1993,"51,256",,NA,NA,,NA,,Maddison on-line
American Samoa,1994,"52,561",,NA,NA,,NA,,Maddison on-line
American Samoa,1995,"53,686",,NA,NA,,NA,,Maddison on-line
American Samoa,1996,"54,690",,NA,NA,,NA,,Maddison on-line
American Samoa,1997,"55,648",,NA,NA,,NA,,Maddison on-line
American Samoa,1998,"56,559",,NA,NA,,NA,,Maddison on-line
American Samoa,1999,"57,423",,NA,NA,,NA,,Maddison on-line
American Samoa,2000,"57,301",,NA,NA,,NA,,Maddison on-line
American Samoa,2001,"57,529",,NA,NA,,NA,,Maddison on-line
American Samoa,2002,"57,716",,NA,NA,,NA,,Maddison on-line
American Samoa,2003,"57,844",,NA,NA,,NA,,Maddison on-line
American Samoa,2004,"57,902",,NA,NA,,NA,,Maddison on-line
American Samoa,2005,"57,881",,NA,NA,,NA,,Maddison on-line
American Samoa,2006,"57,794",,NA,NA,,NA,,Maddison on-line
American Samoa,2007,"57,663",,NA,NA,,NA,,Maddison on-line
American Samoa,2008,"57,496",,NA,NA,,Temporal extrapolation,,Maddison on-line
American Samoa,2030,"49,157",,NA,NA,,Temporal extrapolation,,Maddison on-line
Andorra,1800,"2,654",5,Very poor,Arbitrary guess,,,,No data
Andorra,1820,"2,654",5,Very poor,NA,,Geographical extrapolation,"Very rough (more than 50 years, in several steps)",Maddison on-line
Andorra,1950,"6,176",,NA,NA,,NA,,Maddison on-line
Andorra,1951,"6,310",,NA,NA,,NA,,Maddison on-line
Andorra,1952,"5,866",,NA,NA,,NA,,Maddison on-line
Andorra,1953,"5,591",,NA,NA,,NA,,Maddison on-line
Andorra,1954,"5,503",,NA,NA,,NA,,Maddison on-line
Andorra,1955,"6,189",,NA,NA,,NA,,Maddison on-line
Andorra,1956,"6,221",,NA,NA,,NA,,Maddison on-line
Andorra,1957,"6,424",,NA,NA,,NA,,Maddison on-line
Andorra,1958,"7,103",,NA,NA,,NA,,Maddison on-line
Andorra,1959,"7,239",,NA,NA,,NA,,Maddison on-line
Andorra,1960,"8,392",,NA,NA,,NA,,Maddison on-line
Andorra,1961,"8,959",,NA,NA,,NA,,Maddison on-line
Andorra,1962,"10,317",,NA,NA,,NA,,Maddison on-line
Andorra,1963,"11,356",,NA,NA,,NA,,Maddison on-line
Andorra,1964,"12,199",,NA,NA,,NA,,Maddison on-line
Andorra,1965,"13,623",,NA,NA,,NA,,Maddison on-line
Andorra,1966,"14,380",,NA,NA,,NA,,Maddison on-line
Andorra,1967,"15,563",,NA,NA,,NA,,Maddison on-line
Andorra,1968,"17,216",,NA,NA,,NA,,Maddison on-line
Andorra,1969,"18,233",,NA,NA,,NA,,Maddison on-line
Andorra,1970,"19,545",,NA,NA,,NA,,Maddison on-line
Andorra,1971,"20,550",,NA,NA,,NA,,Maddison on-line
Andorra,1972,"21,425",,NA,NA,,NA,,Maddison on-line
Andorra,1973,"23,092",,NA,NA,,NA,,Maddison on-line
Andorra,1974,"24,807",,NA,NA,,NA,,Maddison on-line
Andorra,1975,"26,558",,NA,NA,,NA,,Maddison on-line
Andorra,1976,"28,500",,NA,NA,,NA,,Maddison on-line
Andorra,1977,"29,396",,NA,NA,,NA,,Maddison on-line
Andorra,1978,"30,321",,NA,NA,,NA,,Maddison on-line
Andorra,1979,"31,274",,NA,NA,,NA,,Maddison on-line
Andorra,1980,"33,584",,NA,NA,,NA,,Maddison on-line
Andorra,1981,"37,825",,NA,NA,,NA,,Maddison on-line
Andorra,1982,"39,940",,NA,NA,,NA,,Maddison on-line
Andorra,1983,"41,627",,NA,NA,,NA,,Maddison on-line
Andorra,1984,"42,712",,NA,NA,,NA,,Maddison on-line
Andorra,1985,"44,596",,NA,NA,,NA,,Maddison on-line
Andorra,1986,"46,476",,NA,NA,,NA,,Maddison on-line
Andorra,1987,"47,671",,NA,NA,,NA,,Maddison on-line
Andorra,1988,"49,365",,NA,NA,,NA,,Maddison on-line
Andorra,1989,"50,516",,NA,NA,,NA,,Maddison on-line
Andorra,1990,"52,837",,NA,NA,,NA,,Maddison on-line
Andorra,1991,"57,558",,NA,NA,,NA,,Maddison on-line
Andorra,1992,"61,496",,NA,NA,,NA,,Maddison on-line
Andorra,1993,"64,980",,NA,NA,,NA,,Maddison on-line
Andorra,1994,"64,877",,NA,NA,,NA,,Maddison on-line
Andorra,1995,"64,276",,NA,NA,,NA,,Maddison on-line
Andorra,1996,"64,170",,NA,NA,,NA,,Maddison on-line
Andorra,1997,"64,573",,NA,NA,,NA,,Maddison on-line
Andorra,1998,"65,147",,NA,NA,,NA,,Maddison on-line
Andorra,1999,"65,997",,NA,NA,,NA,,Maddison on-line
Andorra,2000,"66,824",,NA,NA,,NA,,Maddison on-line
Andorra,2001,"67,627",,NA,NA,,NA,,Maddison on-line
Andorra,2002,"68,403",,NA,NA,,NA,,Maddison on-line
Andorra,2003,"69,150",,NA,NA,,NA,,Maddison on-line
Andorra,2004,"69,865",,NA,NA,,NA,,Maddison on-line
Andorra,2005,"70,549",,NA,NA,,NA,,Maddison on-line
Andorra,2006,"71,201",,NA,NA,,NA,,Maddison on-line
Andorra,2007,"71,822",,NA,NA,,NA,,Maddison on-line
Andorra,2008,"72,413",,NA,NA,,Temporal extrapolation,,Maddison on-line
Andorra,2030,"78,016",,NA,NA,,Temporal extrapolation,,Maddison on-line
Angola,1800,"1,567,028",5,Very poor,Arbitrary guess,,,,No data
Angola,1820,"1,567,028",5,Very poor,NA,,Geographical interpolation,"Very rough (more than 50 years, involving many countries and some arbitrary assumptions)",Maddison on-line
Angola,1940,"3,738,000",2,Good,Census or equivalent,,None,,Mitchell (1998 a)
Angola,1950,"4,117,617",,NA,NA,,NA,,Maddison on-line
Angola,1951,"4,173,095",,NA,NA,,NA,,Maddison on-line
Angola,1952,"4,232,095",,NA,NA,,NA,,Maddison on-line
Angola,1953,"4,293,840",,NA,NA,,NA,,Maddison on-line
Angola,1954,"4,357,527",,NA,NA,,NA,,Maddison on-line
Angola,1955,"4,423,223",,NA,NA,,NA,,Maddison on-line
Angola,1956,"4,490,992",,NA,NA,,NA,,Maddison on-line
Angola,1957,"4,561,361",,NA,NA,,NA,,Maddison on-line
Angola,1958,"4,635,885",,NA,NA,,NA,,Maddison on-line
Angola,1959,"4,714,676",,NA,NA,,NA,,Maddison on-line
Angola,1960,"4,797,344",,NA,NA,,NA,,Maddison on-line
Angola,1961,"4,752,489",,NA,NA,,NA,,Maddison on-line
Angola,1962,"4,826,015",,NA,NA,,NA,,Maddison on-line
Angola,1963,"4,919,586",,NA,NA,,NA,,Maddison on-line
Angola,1964,"5,026,044",,NA,NA,,NA,,Maddison on-line
Angola,1965,"5,134,818",,NA,NA,,NA,,Maddison on-line
Angola,1966,"5,201,250",,NA,NA,,NA,,Maddison on-line
Angola,1967,"5,247,469",,NA,NA,,NA,,Maddison on-line
Angola,1968,"5,350,384",,NA,NA,,NA,,Maddison on-line
Angola,1969,"5,471,641",,NA,NA,,NA,,Maddison on-line
Angola,1970,"5,605,626",,NA,NA,,NA,,Maddison on-line
Angola,1971,"5,752,775",,NA,NA,,NA,,Maddison on-line
Angola,1972,"5,894,858",,NA,NA,,NA,,Maddison on-line
Angola,1973,"6,025,841",,NA,NA,,NA,,Maddison on-line
Angola,1974,"5,986,432",,NA,NA,,NA,,Maddison on-line
Angola,1975,"5,884,241",,NA,NA,,NA,,Maddison on-line
Angola,1976,"5,942,225",,NA,NA,,NA,,Maddison on-line
Angola,1977,"6,162,675",,NA,NA,,NA,,Maddison on-line
